src_page,dest_page
3169382,9091883
3169382,8616560
3169382,8083484
3169382,7578072
3169382,6486890
3169382,6052274
3169382,5561216
3169382,5085779
3169382,4647527
3169382,4152913
3169382,3615659
30336,8166652
30336,1345297
30336,1345294
30336,1345292
30336,183790
30336,43588
30336,37245
30336,31728
3199170,3730910
3068128,9899445
4271335,5179221
3943731,4087523
917855,3733727
917855,3733724
917855,3733723
917855,3733722
917855,1346689
917855,1343285
917855,1343283
917855,1301429
917855,1279791
917855,1219779
917855,1188003
917855,1184701
917855,8051996
917855,8029517
917855,7552267
917855,6462186
917855,6461616
917855,6461454
917855,6208365
917855,6009133
917855,5018014
3943734,4481490
3169395,10555219
3169395,10207260
3169395,9860073
3169395,9734712
3169395,9734694
3169395,9734689
3169395,9734657
3169395,9734620
3169395,9487148
3169395,9091883
3169395,8616560
3169395,8083484
3169395,7578072
3169395,6486890
3169395,6052274
3169395,5561216
3169395,5085779
3169395,4647527
3169395,4152913
3169395,3615659
3943735,4087523
3080050,3095863
3080050,3095842
5474546,5811167
3115788,5168543
2817968,3440539
3169400,10555219
3169400,10207260
3169400,9860073
3169400,9734712
3169400,9734694
3169400,9734689
3169400,9734657
3169400,9734620
3169400,9487148
3169400,9091883
3169400,8616560
3169400,8083484
3169400,7578072
3169400,6486890
3169400,6052274
3169400,5561216
3169400,5085779
3169400,4647527
3169400,4152913
3169400,3615659
30349,8166652
30349,1345297
30349,1345294
30349,1345292
30349,553375
30349,183790
30349,43588
30349,37245
30349,31728
3080055,3095863
3080055,3095842
4938470,6726968
3068142,9899445
2764365,5168897
2764365,3172757
2543965,9899445
768941,1301429
8053701,9637767
2937107,5181578
2823936,4313139
2823936,4087523
4271357,10052696
2758417,9899445
3776972,6351001
3776972,6350998
3776972,6350995
3776972,6350994
3776972,6350993
3776972,6350817
3776972,6350813
3776972,6350809
3776972,6350806
3776972,6350803
3776972,6350801
3776972,6350793
3776972,6350788
3776972,6350784
3776972,5105363
3169416,3730910
3169416,10555219
3169416,10207260
3169416,9860073
3169416,9734712
3169416,9734694
3169416,9734689
3169416,9734657
3169416,9734620
3169416,9487148
3169416,9091883
3169416,8616560
3169416,8083484
3169416,7578072
3169416,6486890
3169416,6052274
3169416,5561216
3169416,5085779
3169416,4647527
3169416,4152913
3169416,3615659
2466553,3095759
4050972,4622022
4050972,4323573
4050972,4321257
4050972,4122672
2859681,4067692
6689682,9531682
6689682,8083037
3115810,5168543
3634024,6213683
3264724,5179221
3264724,5179124
2615472,3172753
2859687,4067692
2823948,4313139
2823948,4087523
3830590,4087523
2937122,5181578
83982,795746
3264730,5179221
3264730,5179124
3080080,3095863
3080080,3095842
3115820,5168543
2907345,5181578
2907345,3818719
2907345,3818714
2907345,3818712
2907345,3818709
2907345,3818699
2907345,3818692
3639992,4434370
2859697,4067692
3080086,3095863
3080086,3095842
4271377,5174557
2347442,2578772
3264737,5179221
3264737,5179124
3360040,3730910
3115829,5168543
2555920,3172756
2555920,3169470
3818692,10047774
3818692,9887797
3818692,9523475
