src_id,src_community,dest_id,dest_community
82876,0,10491436,3
82876,0,10491442,3
82876,0,10491443,22
82876,0,10491444,3
82876,0,10491446,3
82876,0,10491448,3
82876,0,10491458,0
82876,0,10491459,3
82876,0,10491464,3
82876,0,10491466,3
82876,0,10491478,3
82876,0,10491480,3
82876,0,10491482,3
82876,0,10491498,3
82876,0,10491504,3
82876,0,10491507,3
82876,0,10491508,3
82876,0,10491509,3
82876,0,10491515,3
82876,0,10491517,3
82876,0,10491537,3
82876,0,10491538,3
82876,0,10491542,15
82876,0,10491546,3
82876,0,10491561,0
82876,0,10491563,3
82876,0,10491564,0
82876,0,10491565,3
82876,0,10491566,3
82876,0,10491567,20
82876,0,10491584,3
82876,0,10491585,3
82876,0,10491588,3
82876,0,10491589,15
82876,0,10491592,3
82876,0,10491593,3
82876,0,10491790,3
82876,0,10492686,0
82876,0,10494188,0
82876,0,10494413,0
82876,0,10496045,0
82876,0,10497063,0
82876,0,104995,0
82876,0,10500179,0
82876,0,10500594,3
82876,0,10501417,0
82876,0,10505708,0
82876,0,10513954,3
82876,0,10516008,3
82876,0,10517807,0
82876,0,10522344,3
82876,0,10523354,0
82876,0,10523930,0
82876,0,10525491,4
82876,0,10526737,3
82876,0,10526860,0
82876,0,10527535,3
82876,0,10529869,0
82876,0,10533847,3
82876,0,10533892,0
82876,0,10536759,0
82876,0,10537176,0
82876,0,10538070,3
82876,0,10540198,0
82876,0,105404,3
82876,0,105448,22
82876,0,10545678,0
82876,0,10551505,3
82876,0,105538,22
82876,0,10554761,1
82876,0,10559375,3
82876,0,10562759,3
82876,0,10563406,0
82876,0,10565322,3
82876,0,10566021,22
82876,0,10566719,0
82876,0,10566946,0
82876,0,1056726,0
82876,0,10568190,0
82876,0,10568231,3
82876,0,10569103,3
82876,0,10571288,22
82876,0,10571432,0
82876,0,10572773,3
82876,0,10573013,28
82876,0,10573561,3
82876,0,10575338,0
82876,0,10575516,0
82876,0,10577615,0
82876,0,10577783,0
82876,0,10578561,0
82876,0,10580316,0
82876,0,1058064,0
82876,0,10581145,0
82876,0,10581291,3
82876,0,10582255,3
82876,0,1058283,3
82876,0,10583504,0
82876,0,10587193,3
82876,0,1058726,0
82876,0,10587373,3
82876,0,10587778,0
82876,0,10588272,0
82876,0,10589719,3
82876,0,10590088,0
82876,0,10591653,0
82876,0,10592537,3
82876,0,10592833,3
82876,0,10595304,3
82876,0,10596886,0
82876,0,10598870,0
82876,0,10600819,0
82876,0,10601077,12
82876,0,10603472,0
82876,0,1060389,0
82876,0,10607835,0
82876,0,10608181,0
82876,0,10608818,0
82876,0,10609722,0
82876,0,10610948,3
82876,0,1061271,22
82876,0,10613070,22
82876,0,10616043,0
82876,0,10619032,0
82876,0,10623580,0
82876,0,1062827,0
82876,0,1062936,0
82876,0,1063205,0
82876,0,10632219,0
82876,0,10637190,0
82876,0,1063815,21
82876,0,10640927,0
82876,0,10653443,0
82876,0,10656653,3
82876,0,10661293,0
82876,0,106615,3
82876,0,10666443,0
82876,0,106714,0
82876,0,1067419,0
82876,0,1067437,3
82876,0,10678840,0
82876,0,10681454,0
82876,0,10683413,0
82876,0,10683957,0
82876,0,106854,22
82876,0,1068615,22
82876,0,107016,0
82876,0,1071309,0
82876,0,1071593,28
82876,0,1072612,0
82876,0,107373,3
82876,0,1074711,0
82876,0,1074723,0
82876,0,1075783,0
82876,0,1076112,3
82876,0,107642,3
82876,0,107763,0
82876,0,1078015,0
82876,0,107866,3
82876,0,1080079,0
82876,0,1080363,0
82876,0,108051,22
82876,0,108091,22
82876,0,108182,0
82876,0,1081881,0
82876,0,108198,22
82876,0,108268,12
82876,0,1082777,0
82876,0,1083798,0
82876,0,1084323,0
82876,0,1085411,22
82876,0,109129,0
82876,0,1091708,0
82876,0,1093607,0
82876,0,109429,22
82876,0,1094347,0
82876,0,1096201,0
82876,0,109838,0
82876,0,1098390,0
82876,0,1100434,22
82876,0,1103809,0
82876,0,1103923,0
82876,0,110566,0
82876,0,1105897,38
82876,0,110644,0
82876,0,110676,0
82876,0,110729,0
82876,0,1107872,0
82876,0,1108715,0
82876,0,1110525,0
82876,0,111088,0
82876,0,1114659,0
82876,0,111621,22
82876,0,1116555,0
82876,0,1116936,3
82876,0,1117213,0
82876,0,1117640,0
82876,0,111805,0
82876,0,1119538,0
82876,0,1120029,21
82876,0,1120106,0
82876,0,1120395,0
82876,0,1121495,0
82876,0,112157,1
82876,0,1121589,0
82876,0,1121744,0
82876,0,1121864,0
82876,0,1125135,0
82876,0,1125905,0
82876,0,1127120,0
82876,0,1127577,3
82876,0,1128686,0
82876,0,1129034,3
82876,0,112931,28
82876,0,1131485,0
82876,0,1131516,0
82876,0,1132375,3
82876,0,1132495,0
82876,0,1135636,0
82876,0,1136397,0
82876,0,1137366,0
82876,0,1142212,3
82876,0,114407,0
82876,0,1145017,0
82876,0,1145704,0
82876,0,1146326,0
82876,0,114637,0
82876,0,1146896,0
82876,0,1146965,0
82876,0,1148063,0
82876,0,1150366,0
82876,0,1151271,0
82876,0,1151354,0
82876,0,1152072,28
82876,0,1154459,0
82876,0,1155180,0
82876,0,1155269,22
82876,0,1155920,22
82876,0,115598,0
82876,0,115600,0
82876,0,115664,3
82876,0,1156943,3
82876,0,1157216,0
82876,0,1157242,0
82876,0,116042,0
82876,0,1161339,0
82876,0,116166,0
82876,0,1161682,3
82876,0,1163455,0
82876,0,1165913,0
82876,0,1169466,0
82876,0,117079,0
82876,0,117098,0
82876,0,117304,0
82876,0,1173763,14
82876,0,1173786,3
82876,0,1174043,0
82876,0,1174102,0
82876,0,1174299,0
82876,0,1174450,0
82876,0,117563,0
82876,0,1175709,0
82876,0,1176048,3
82876,0,1176680,0
82876,0,1176920,0
82876,0,1176962,0
82876,0,117745,3
82876,0,1177926,0
82876,0,1178160,3
82876,0,1179267,0
82876,0,117970,4
82876,0,1182304,0
82876,0,1182362,0
82876,0,1182510,22
82876,0,1183460,0
82876,0,1183719,28
82876,0,1183893,0
82876,0,1184292,0
82876,0,1184377,0
82876,0,1185002,3
82876,0,1185072,0
82876,0,1186284,3
82876,0,1186873,0
82876,0,1187129,22
82876,0,1188417,0
82876,0,1188545,0
82876,0,1188966,0
82876,0,1194094,0
82876,0,1194991,3
82876,0,1195123,0
82876,0,1195485,0
82876,0,1195546,0
82876,0,1195570,3
82876,0,1195773,0
82876,0,1196631,0
82876,0,1198529,14
82876,0,1198982,0
82876,0,1199052,3
82876,0,1199655,0
82876,0,1199753,3
82876,0,1201003,3
82876,0,1201751,0
82876,0,1202715,0
82876,0,1203180,3
82876,0,1203838,22
82876,0,120411,0
82876,0,1204392,0
82876,0,1204670,0
82876,0,1204936,0
82876,0,1204976,3
82876,0,120537,0
82876,0,120549,0
82876,0,1206445,22
82876,0,120699,3
82876,0,120764,0
82876,0,1207778,3
82876,0,1208816,3
82876,0,1212908,22
82876,0,1214286,0
82876,0,1214611,22
82876,0,1216570,0
82876,0,1217197,3
82876,0,1217313,0
82876,0,1217363,0
82876,0,1217843,0
82876,0,1218220,0
82876,0,1219014,3
82876,0,1219126,0
82876,0,121934,0
82876,0,1219625,0
82876,0,1222735,3
82876,0,1223032,4
82876,0,122362,0
82876,0,122457,0
82876,0,122497,0
82876,0,1225069,0
82876,0,1225304,0
82876,0,1227063,22
82876,0,1227976,0
82876,0,1228379,0
82876,0,1229358,0
82876,0,1230217,0
82876,0,1230521,3
82876,0,1231359,0
82876,0,1232256,0
82876,0,1232566,0
82876,0,1232668,0
82876,0,1233435,0
82876,0,1233590,22
82876,0,1233601,3
82876,0,1234817,0
82876,0,1234870,0
82876,0,1235240,0
82876,0,1235818,3
82876,0,123645,3
82876,0,123654,0
82876,0,1236987,3
82876,0,1237287,0
82876,0,1237611,3
82876,0,123854,1
82876,0,1238608,3
82876,0,1238626,0
82876,0,1239385,3
82876,0,124018,3
82876,0,1241244,22
82876,0,124200,3
82876,0,1242126,22
82876,0,1242921,21
82876,0,124440,0
82876,0,1244846,0
82876,0,124739,3
82876,0,1247936,0
82876,0,124838,3
82876,0,1248974,0
82876,0,1249540,0
82876,0,1249847,0
82876,0,1249892,22
82876,0,1250777,0
82876,0,1251180,0
82876,0,1254241,28
82876,0,1256124,3
82876,0,125919,22
82876,0,1260762,0
82876,0,1261568,1
82876,0,1262330,0
82876,0,1266739,4
82876,0,1267860,3
82876,0,1268254,0
82876,0,1268680,0
82876,0,1268719,0
82876,0,1269756,0
82876,0,1270786,0
82876,0,1272366,0
82876,0,1272375,0
82876,0,1272448,3
82876,0,1273047,0
82876,0,1273764,0
82876,0,127388,0
82876,0,127408,0
82876,0,127425,22
82876,0,1275505,3
82876,0,1278500,0
82876,0,1279163,0
82876,0,1279320,0
82876,0,1280205,0
82876,0,1282124,3
82876,0,1282618,0
82876,0,1282999,1
82876,0,1284596,0
82876,0,1286149,22
82876,0,1286581,28
82876,0,1289351,0
82876,0,1290116,15
82876,0,1292453,3
82876,0,1295555,0
82876,0,1299154,0
82876,0,1299259,0
82876,0,1299944,0
82876,0,1301429,0
82876,0,1306338,3
82876,0,1307010,0
